References,Value,Footprint,DigiKey,Quantity
"C1, C2",22 uF,C_0805_2012Metric,311-1903-1-ND,2
"C6, C8",0.1uF,C_0402_1005Metric,490-GRM155R62A104KE14JCT-ND,2
C3,1 uF,C_0603_1608Metric,1276-1860-1-ND,1
C18,100uF,CP_Elec_8x10,399-EEV107M050S9MAATR-ND,1
"R3, R7, R12, R13",110K,R_0402_1005Metric,CR0402-FX-1103GLFTR-ND,4
"R1, R5, R11",33K,R_0402_1005Metric,CR0402-FX-3302GLFTR-ND,3
R4,180K,R_0402_1005Metric,CR0402-FX-1803GLFTR-ND,1
R6,1K,R_0402_1005Metric,311-1.00KLRTR-ND,1
R8,10K,R_0402_1005Metric,A121528CT-ND,1
R14,15K,R_0402_1005Metric,CR0402-FX-1502GLFTR-ND,1
L1,1.8 uH,L_Vishay_IHLP-4040,541-1313-2-ND,1
D1,XMC7K24CA,D_SMC,112-XMC7K24CAHM3/ITR-ND,1
D2,SMBJ5.0A,D_SMB,SMBJ5.0ALFTR-ND,1
D3,2V 20mA,LED_0603_1608Metric,475-LGQ396-PS-35CT-ND,1
D4,BZX84-C13,SOT-23,BZX84C13-FDITR-ND,1
D5,2V 20mA,LED_0603_1608Metric,475-LOQ976-PS-25-0-20-R18TR-ND,1
IC2,TPS51397ARJER,QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm_ThermalVias,296-TPS51397ARJERTR-ND,1
Q1,SiA471DJ,Vishay_PowerPAK_SC70-6L_Single,SIA471DJ-T1-GE3TR-ND,1
"J1, J4",282837-2,TerminalBlock_bornier-2_P5.08mm,A113320-ND,2
